YR	MON	DAY	PREC	Z500Z	500zonal	Z500merid
2011	7	23	3.95	-1.93	-1.28	-0.55
2011	7	24	7.90	-0.56	2.70	-0.31
2011	7	25	3.01	1.08	2.96	-0.92
2011	7	26	0.00	1.69	0.10	1.21
2011	7	27	0.00	1.71	-0.59	1.52
2011	7	28	0.00	1.13	-0.94	1.87
2011	7	29	0.00	0.77	0.36	2.49
2011	7	30	0.00	0.82	-1.63	2.18
2011	7	31	0.00	0.63	0.02	0.67
2011	8	1	0.00	0.33	-0.42	0.41
2011	8	2	0.00	-0.05	-0.33	0.63
2011	8	3	0.00	-1.01	-1.28	0.70
2011	8	4	0.00	-2.68	-2.41	-0.35
2011	8	5	0.00	-3.55	-0.16	0.56
2011	8	6	6.20	-2.07	1.40	-0.38
2011	8	7	0.56	-0.85	0.79	0.35
2011	8	8	9.59	0.59	1.92	0.04
2011	8	9	0.00	1.41	0.45	0.33
2011	8	10	0.00	1.48	-0.08	-0.01
2011	8	11	0.00	0.91	-0.68	0.13
2011	8	12	0.00	0.37	-0.68	0.56
2011	8	13	0.00	0.73	1.05	0.90
2011	8	14	0.00	0.44	-0.25	-1.64
2011	8	15	0.00	0.70	0.01	0.23
2011	8	16	0.00	0.42	-0.33	1.36
2011	8	17	0.00	0.70	1.83	-0.23
2011	8	18	0.00	0.68	0.10	-0.80
2011	8	19	0.00	0.70	-0.07	-1.30
2011	8	20	0.00	0.54	-0.51	-1.65
2011	8	21	4.51	-0.89	-0.33	-0.28
2011	8	22	0.56	-1.43	-1.81	-0.69
2011	8	23	0.00	-1.67	2.01	-0.44
2011	8	24	0.00	0.19	1.49	-1.76
2011	8	25	0.00	0.91	0.27	-1.30
2011	8	26	0.00	0.66	-0.25	-1.21
2011	8	27	1.69	0.35	0.36	-0.50
2011	8	28	3.95	0.63	1.05	-0.58
2011	8	29	0.00	1.48	0.44	-2.01
2011	8	30	0.00	0.96	-1.02	-2.07
2011	8	31	3.38	0.28	-0.16	-0.27
2011	9	1	0.00	-1.25	-2.93	-0.48
2011	9	2	20.30	-2.94	-0.33	-0.83
2011	9	3	15.23	-1.60	1.49	-0.11
2011	9	4	1.69	-0.05	0.19	-0.35
2011	9	5	0.00	-0.21	-0.07	0.00
2011	9	6	0.00	-0.54	-0.68	0.30
2011	9	7	6.77	-1.10	0.10	-0.27
2011	9	8	3.38	-2.23	-1.03	-0.28
2011	9	9	9.59	-1.83	-0.25	-0.56
2011	9	10	5.08	-1.20	0.27	-0.53
2011	9	11	1.13	-0.96	0.97	-0.75
2011	9	12	1.69	-0.42	0.27	-0.96
2011	9	13	1.13	0.14	0.02	-0.40
2011	9	14	0.00	0.23	0.19	-0.83
2011	9	15	0.00	0.82	0.97	-1.00
2011	9	16	0.00	0.94	-0.42	-0.96
2011	9	17	0.00	0.66	-0.59	-0.99
2011	9	18	0.00	0.23	-0.16	-1.37
2011	9	19	0.00	0.28	-0.07	-1.10
2011	9	20	0.00	-0.17	-1.37	-0.34
2011	9	21	10.15	-0.09	0.45	-1.06
2011	9	22	0.00	0.80	0.19	-0.47
2011	9	23	3.95	1.64	1.32	-0.83
2011	9	24	0.00	2.18	0.36	-0.23
2011	9	25	0.00	2.25	-0.51	-0.28
2011	9	26	0.00	1.71	-0.25	-0.01
2011	9	27	0.00	1.43	0.27	-0.78
2011	9	28	0.00	0.70	-0.33	-0.07
2011	9	29	0.00	-0.31	-1.11	-0.61
2011	9	30	0.00	-0.02	0.71	-1.11
2011	10	1	0.00	0.52	-0.16	-1.87
2011	10	2	0.00	1.13	0.27	0.35
2011	10	3	0.00	1.81	-0.08	0.21
2011	10	4	0.00	1.27	-1.37	0.70
2011	10	5	0.00	0.82	0.10	0.54
2011	10	6	0.00	0.84	0.10	0.17
2011	10	7	0.00	1.81	0.19	0.60
2011	10	8	0.00	1.57	-0.94	0.54
2011	10	9	0.00	0.82	-0.85	0.96
2011	10	10	0.00	0.63	-0.16	0.46
2011	10	11	0.00	0.80	1.22	0.07
2011	10	12	0.00	0.89	-1.37	0.06
2011	10	13	0.00	0.82	-0.85	-0.04
2011	10	14	0.00	0.07	-0.60	0.57
2011	10	15	1.13	0.09	0.27	-0.47
2011	10	16	0.00	0.44	1.14	0.48
2011	10	17	4.06	-0.28	-1.72	0.29
2011	10	18	3.38	0.52	-0.33	-0.76
2011	10	19	0.00	-1.06	-1.81	-0.53
2011	10	20	3.38	-0.68	0.36	-0.48
2011	10	21	5.41	-2.33	0.01	-0.80
2011	10	22	0.00	-3.27	-2.41	-0.55
2011	10	23	0.00	-1.69	4.52	-0.42
2011	10	24	2.71	-0.94	2.70	-0.28
2011	10	25	7.90	-0.02	1.40	-0.04
2011	10	26	4.06	0.40	0.27	-0.05
2011	10	27	0.00	1.06	0.19	-0.10
2011	10	28	0.00	1.01	-0.51	-0.16
2011	10	29	0.00	0.70	0.36	-0.05
2011	10	30	0.00	0.73	-1.11	0.40
2011	10	31	0.00	0.70	-0.42	0.66
2011	11	1	0.00	-0.19	-1.63	0.17
2011	11	2	0.00	-1.36	-0.77	0.60
2011	11	3	0.00	-0.92	-0.77	0.24
2011	11	4	2.71	-2.84	-0.42	0.08
2011	11	5	2.03	-1.53	0.01	-0.49
2011	11	6	16.35	-1.32	-0.68	-0.26
2011	11	7	16.35	-0.92	-0.25	-0.32
2011	11	8	10.15	-0.68	2.53	-0.29
2011	11	9	0.00	0.47	-0.77	-0.23
2011	11	10	0.00	0.40	-0.16	-0.47
2011	11	11	9.59	0.19	2.61	0.09
2011	11	12	3.95	1.06	1.05	-0.93
2011	11	13	0.00	1.88	0.62	-1.19
2011	11	14	0.00	1.78	-0.42	-1.24
2011	11	15	0.00	1.69	0.19	-1.71
2011	11	16	0.00	1.34	-0.51	-1.57
2011	11	17	0.00	0.91	-0.77	-1.68
2011	11	18	0.00	-0.38	-2.93	-1.13
2011	11	19	6.77	-1.72	1.05	-0.06
2011	11	20	4.06	-1.06	3.13	-0.58
2011	11	21	2.71	0.77	0.36	0.35
2011	11	22	0.00	0.77	-0.16	-1.53
2011	11	23	2.71	0.98	0.10	-1.92
2011	11	24	10.15	0.35	-0.25	-0.08
2011	11	25	3.95	0.44	0.36	-0.77
2011	11	26	2.82	0.84	0.19	-0.42
2011	11	27	0.00	0.23	-1.20	-0.34
2011	11	28	19.17	-0.54	-0.07	-0.09
2011	11	29	1.13	0.61	1.49	0.08
2011	11	30	0.00	1.69	2.26	0.33
2011	12	1	0.00	1.31	-0.76	0.04
2011	12	2	0.00	0.28	-1.11	0.37
2011	12	3	0.00	-0.42	-0.94	0.43
2011	12	4	3.95	-2.35	-2.24	-0.23
2011	12	5	6.77	-1.13	0.71	0.19
2011	12	6	0.00	-1.46	0.79	0.35
2011	12	7	0.00	-2.12	-0.42	0.21
2011	12	8	0.00	-2.42	-0.50	0.50
2011	12	9	0.00	-0.87	2.96	0.59
2011	12	10	0.00	-0.61	0.62	0.41
2011	12	11	0.00	0.12	0.62	-0.09
2011	12	12	0.00	-0.09	-0.25	0.07
2011	12	13	0.00	-0.05	-0.68	0.11
2011	12	14	0.00	-1.10	-1.28	0.07
2011	12	15	0.00	-1.46	0.02	0.19
2011	12	16	0.00	-1.32	-0.25	-0.89
2011	12	17	0.00	-0.49	0.70	-1.38
2011	12	18	0.00	0.21	0.88	-0.81
2011	12	19	0.00	0.82	0.53	-1.68
2011	12	20	0.00	1.10	0.19	-0.23
2011	12	21	0.00	1.03	-0.25	1.62
2011	12	22	0.00	0.91	0.27	0.30
2011	12	23	0.00	0.30	-1.20	0.83
2011	12	24	0.00	-0.35	-2.59	0.88
2011	12	25	0.00	-0.61	-1.29	1.06
2011	12	26	0.00	-1.60	-0.42	0.87
2011	12	27	0.00	-1.83	-1.80	1.20
2011	12	28	0.00	-2.16	-0.77	0.94
2011	12	29	0.00	-1.72	0.53	0.18
2011	12	30	0.00	-1.53	0.10	0.21
2011	12	31	0.00	-1.76	-0.25	1.04
2012	1	1	0.00	-1.15	1.49	-0.12
2012	1	2	0.00	-0.40	0.44	-0.75
2012	1	3	0.00	0.16	0.97	-0.57
2012	1	4	0.00	0.70	0.62	1.02
2012	1	5	0.00	0.73	-0.76	1.01
2012	1	6	0.00	0.35	-0.25	1.47
2012	1	7	0.00	0.37	0.10	1.30
2012	1	8	0.00	0.98	0.53	1.22
